StoryID,RegionSimplified,Country,GenreSimplified,PanelOrdinal,Valence,Arousal,valence_roll_5,arousal_roll_5
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.751515152,-0.5,3,-0.6,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.757575758,-0.5,3,-0.5,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.763636364,-1,4,-0.4,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.76969697,0,3,-0.3,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.775757576,0,3,-0.3,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.781818182,0,3,0,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.787878788,-0.5,3,0,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.793939394,0.5,3,0.1,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.8,0,2,0.3,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.806060606,0.5,3,0.6,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.812121212,1,4,0.5,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.818181818,1,4,0.4,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.824242424,0,3,0.4,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.83030303,-0.5,3,0.3,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.836363636,0.5,3,0.2,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.842424242,0.5,4,0.1,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.848484848,0.5,4,0.2,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.854545455,-0.5,3,0,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.860606061,0,2,-0.3,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.866666667,-0.5,3,-0.6,2.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.872727273,-1,2,-0.6,2.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.878787879,-1,3,-0.6,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.884848485,-0.5,3,-0.7,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.890909091,0,3,-0.6,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.896969697,-1,4,-0.6,3.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.903030303,-0.5,4,-0.7,3.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.909090909,-1,4,-0.8,4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.915151515,-1,4,-0.7,4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.921212121,-0.5,4,-0.8,3.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.927272727,-0.5,4,-0.7,3.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.933333333,-1,3,-0.7,3.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.939393939,-0.5,4,-0.7,3.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.945454545,-1,4,-0.7,3.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.951515152,-0.5,3,-0.4,3.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.957575758,-0.5,4,-0.2,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.963636364,0.5,3,-0.1,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.96969697,0.5,3,0.1,3.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.975757576,-0.5,3,0.3,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.981818182,0.5,4,0.4,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.987878788,0.5,3,0.4,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.993939394,1,3,NA,NA
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,1,0.5,3,NA,NA
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.027777778,0,1,NA,NA
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.055555556,0,1,NA,NA
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.083333333,0,1,0.1,1.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.111111111,0,2,0,1.8
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.138888889,0.5,2,0,2.2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.166666667,-0.5,3,0,2.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.194444444,0,3,0,2.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.222222222,0,2,0,2.6
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.25,0,2,0,2.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.277777778,0.5,3,0.2,2.2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.305555556,-0.5,2,0.4,2.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.333333333,1,2,0.5,2.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.361111111,1,3,0.3,2.2
